customerID,gender,age,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,DataUsage,VoiceCalls,SMSCount,AverageChargesPerMonth
1,Male,71,1,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,37.76,264.32,No,5.6,2873,364,37.76
2,Female,34,0,No,Yes,70,Yes,Yes,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,31.36,2195.2,Yes,12.2,1150,466,31.36
3,Male,26,0,Yes,No,15,No,No,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,116.3,1744.5,No,14.9,2249,155,116.3
4,Male,50,0,No,Yes,32,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Bank transfer,105.52,3376.64,Yes,28,2497,155,105.52
5,Male,70,1,No,Yes,20,Yes,No phone service,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Credit card,108.02,2160.4,No,19.9,1111,375,108.02
6,Female,37,0,Yes,No,15,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,107.33,1609.95,No,33.7,18,201,107.33
7,Male,30,0,No,Yes,48,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,No,Bank transfer,72.69,3489.12,Yes,2.8,1616,467,72.69
8,Male,45,0,Yes,Yes,71,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,No,Credit card,83.21,5907.91,Yes,6.2,1481,408,83.21
9,Male,65,1,Yes,Yes,21,No,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,Yes,Bank transfer,73.06,1534.26,Yes,25,2358,340,73.06
10,Female,46,0,Yes,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card,23.4,982.8,No,16.8,411,461,23.4
11,Male,30,0,Yes,Yes,26,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,93.17,2422.42,Yes,14.8,741,341,93.17
12,Male,63,0,Yes,Yes,14,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card,69.04,966.56,Yes,3.4,2671,116,69.04
13,Male,52,0,No,No,57,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,Yes,Mailed check,83.34,4750.38,No,44.8,2779,153,83.34
14,Male,78,1,No,Yes,37,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Credit card,68.77,2544.49,No,34.6,2682,363,68.77
15,Female,23,0,No,No,58,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,67.68,3925.44,Yes,6.1,2545,330,67.68
16,Male,35,0,Yes,No,21,No,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,35.51,745.71,Yes,3.3,2291,118,35.51
17,Female,68,1,Yes,Yes,69,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,46.26,3191.94,Yes,48.7,2737,198,46.26
18,Female,22,0,Yes,No,3,Yes,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Mailed check,34.21,102.63,No,34.1,2624,400,34.21
19,Female,64,0,No,No,37,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Credit card,37.91,1402.67,No,20.9,1403,465,37.91
20,Male,42,0,Yes,Yes,49,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,116.03,5685.47,Yes,35.1,514,262,116.03
21,Female,19,0,No,No,19,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card,33.64,639.16,No,37.8,206,183,33.64
22,Male,27,0,No,No,12,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,No,Electronic check,45.31,543.72,Yes,39,947,447,45.31
23,Female,73,1,Yes,Yes,61,Yes,No,No,No internet service,No,No,No,No,No,One year,Yes,Mailed check,77.6,4733.6,Yes,23.9,2441,147,77.6
24,Female,47,0,Yes,Yes,41,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Electronic check,79.57,3262.37,No,21.5,1828,165,79.57
25,Female,67,1,No,Yes,33,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,33.72,1112.76,Yes,0.6,2765,74,33.72
26,Female,76,1,Yes,No,50,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,98.02,4901,Yes,46.3,1998,235,98.02
27,Female,62,0,No,Yes,68,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card,97.16,6606.88,No,30.2,2249,313,97.16
